iter	RMSE
0	682.6095326
1	659.9640562
2	638.2376219
3	619.1092024
4	598.6342617
5	579.8195188
6	560.9480511
7	542.5551417
8	525.2070049
9	508.6578486
10	491.8064373
11	476.0031573
12	460.722474
13	446.0936043
14	431.7338966
15	418.0764785
16	404.6924289
17	391.6261136
18	378.8765343
19	366.7005256
20	355.3725931
21	343.9698042
22	333.0698307
23	322.4300792
24	311.9552391
25	301.9282711
26	292.3489828
27	282.8743378
28	273.785489
29	265.2564221
30	256.9133319
31	248.8711812
32	240.8809983
33	233.336474
34	225.955002
35	218.8998621
36	212.0173413
37	205.3658172
38	199.1887841
39	193.1425866
40	187.089866
41	181.3574577
42	175.9001655
43	170.5334289
44	165.2805654
45	160.3223261
46	155.7242352
47	151.0779499
48	146.5586712
49	142.401523
50	138.2532241
51	134.3661957
52	130.631238
53	126.9272426
54	123.3517038
55	119.9440128
56	116.6533916
57	113.4484986
58	110.402294
59	107.3966099
60	104.5814974
61	101.7624324
62	99.16776862
63	96.69136231
64	94.29861287
65	92.06033139
66	89.83343533
67	87.67158067
68	85.64909553
69	83.65327458
70	81.79142945
71	79.97505874
72	78.10951045
73	76.39745799
74	74.73260123
75	73.15394681
76	71.58506432
77	70.16266093
78	68.80796873
79	67.493
80	66.23024257
81	64.97871214
82	63.79231535
83	62.66062364
84	61.5226925
85	60.51958931
86	59.46416508
87	58.49960168
88	57.51293731
89	56.59023162
90	55.69252105
91	54.89995623
92	54.08016836
93	53.33329199
94	52.59947786
95	51.92528147
96	51.27899287
97	50.61612354
98	50.01437972
99	49.42270091
100	48.88599245
101	48.31045833
102	47.74968647
103	47.23886094
104	46.79316109
105	46.36629573
106	45.8738424
107	45.49843352
108	45.06143376
109	44.69168876
110	44.33679206
111	43.96825008
112	43.61122956
113	43.29046463
114	42.92657725
115	42.62010586
116	42.34525822
117	42.04283357
118	41.77302738
119	41.50742214
120	41.16761399
121	40.91141878
122	40.68238347
123	40.4373745
124	40.18548269
125	39.90157059
126	39.70927496
127	39.49397242
128	39.28911784
129	39.12179479
130	38.87528391
131	38.62269718
132	38.42171436
133	38.20596235
134	38.01244991
135	37.85605943
136	37.67317923
137	37.51654866
138	37.40635855
139	37.27720579
140	37.07153934
141	36.95043963
142	36.77458611
143	36.63758642
144	36.47490653
145	36.36554526
146	36.23729058
147	36.03623022
148	35.93196596
149	35.82689223
150	35.69577587
151	35.61411295
152	35.49910572
153	35.36410754
154	35.25425797
155	35.13724001
156	35.06663241
157	34.96863176
158	34.89437487
159	34.78177087
160	34.72052717
161	34.63519261
162	34.54502758
163	34.50577586
164	34.45919798
165	34.40049443
166	34.29717371
167	34.16860677
168	34.11439566
169	34.02768216
170	33.95732418
171	33.90822519
172	33.81472099
173	33.73054967
174	33.68665622
175	33.63089686
176	33.58017871
177	33.49310254
178	33.35962192
179	33.28134481
180	33.21216548
181	33.14973823
182	33.12369399
183	33.07227616
184	33.02243508
185	32.98929922
186	32.91991184
187	32.87228861
188	32.82373065
189	32.77984001
190	32.68241617
191	32.63136437
192	32.53555459
193	32.4212132
194	32.32712033
195	32.27490565
196	32.21721444
197	32.13464345
198	32.07088429
199	32.03678693
200	31.98794106
201	31.92888521
202	31.86639119
203	31.79630795
204	31.73584101
205	31.69257298
206	31.63380541
207	31.55801229
208	31.53129672
209	31.45684386
210	31.42276703
211	31.38967375
212	31.35538939
213	31.31228382
214	31.26797592
215	31.22259446
216	31.17860709
217	31.1486743
218	31.1054518
219	31.08202465
220	31.03603529
221	30.97301677
222	30.93706235
223	30.89022347
224	30.79468835
225	30.75781936
226	30.73301682
227	30.7019892
228	30.65157443
229	30.63981733
230	30.60781952
231	30.57654355
232	30.49252732
233	30.44425968
234	30.40465506
235	30.37082966
236	30.33157453
237	30.28376831
238	30.2414828
239	30.22164525
240	30.13680494
241	30.10137084
242	30.07618802
243	30.00566765
244	29.95698706
245	29.92685035
246	29.89560318
247	29.86312209
248	29.79392563
249	29.7589989
250	29.72921247
251	29.69832336
252	29.67796108
253	29.62046938
254	29.57868183
255	29.51713902
256	29.49381692
257	29.47143418
258	29.43071996
259	29.39589164
260	29.36336334
261	29.32229077
