iter	RMSE
0	681.9920887
1	659.0390626
2	637.4905459
3	617.2389472
4	596.7913128
5	577.6473768
6	558.8135883
7	541.7984113
8	524.6247156
9	507.4244178
10	490.9798606
11	474.705332
12	459.2144273
13	445.1679058
14	430.8595129
15	417.0159327
16	403.8095546
17	390.6626082
18	378.2811183
19	366.2266843
20	354.6059695
21	344.0755252
22	333.0246382
23	322.5777522
24	312.3855015
25	302.5493361
26	292.891855
27	283.9202212
28	274.8977075
29	266.2695577
30	257.8168204
31	249.8930034
32	242.0184995
33	234.358018
34	227.1386898
35	219.9121276
36	213.1296217
37	206.4929944
38	200.24312
39	193.9620999
40	187.9277456
41	182.1575072
42	176.5636334
43	171.1578173
44	165.9765403
45	161.1620565
46	156.2641237
47	151.7577573
48	147.1190279
49	142.8585408
50	138.5912348
51	134.6613916
52	130.7482014
53	127.0025663
54	123.3922755
55	119.8861477
56	116.6300176
57	113.4847355
58	110.3655838
59	107.4881722
60	104.6929379
61	101.9285489
62	99.24910294
63	96.71949159
64	94.22899094
65	91.86207098
66	89.53464704
67	87.3681024
68	85.28144365
69	83.30518057
70	81.37546619
71	79.53822074
72	77.80612674
73	76.08613193
74	74.42986818
75	72.82703685
76	71.21689988
77	69.8210453
78	68.48595996
79	67.10095872
80	65.8833574
81	64.65216171
82	63.42387285
83	62.26002761
84	61.1595531
85	60.14218814
86	59.06579599
87	58.09859764
88	57.24570001
89	56.31186656
90	55.41484809
91	54.61333473
92	53.82625782
93	53.07373114
94	52.39296307
95	51.65897761
96	51.02532057
97	50.38365862
98	49.795503
99	49.20607487
100	48.67484703
101	48.19235861
102	47.76134652
103	47.23960556
104	46.81826728
105	46.34528847
106	45.91921991
107	45.50035504
108	45.07430072
109	44.69127304
110	44.25282648
111	43.93664531
112	43.60662066
113	43.34941544
114	43.02133807
115	42.63775154
116	42.33803093
117	42.03318107
118	41.7555077
119	41.48061053
120	41.24560773
121	41.01303208
122	40.78118277
123	40.5476115
124	40.34042926
125	40.07655677
126	39.85017564
127	39.63085842
128	39.42984533
129	39.24426524
130	39.06742144
131	38.88184037
132	38.67958999
133	38.53316336
134	38.32036271
135	38.19586102
136	38.00838053
137	37.89298463
138	37.73040395
139	37.55595029
140	37.45399008
141	37.30314252
142	37.21119893
143	37.10812208
144	36.92237848
145	36.77240657
146	36.68745321
147	36.55552262
148	36.44863985
149	36.33768272
150	36.22928343
151	36.10836486
152	36.01079717
153	35.89982418
154	35.78983717
155	35.63545279
156	35.56791474
157	35.50517902
158	35.42056266
159	35.29069147
160	35.20574569
161	35.12551202
162	35.06101145
163	34.9935478
164	34.90515901
165	34.744242
166	34.68530711
167	34.549115
168	34.42994981
169	34.35036785
170	34.22019514
171	34.1637923
172	34.08536605
173	34.0194712
174	33.95769569
175	33.87546717
176	33.83836102
177	33.77311713
178	33.59014856
179	33.52458143
180	33.47005438
181	33.39645432
182	33.34528585
183	33.29970761
184	33.18347436
185	33.13007486
186	33.08535283
187	33.0280882
188	32.90629517
189	32.84895903
190	32.79365658
191	32.73952103
192	32.71922436
193	32.67479395
194	32.62109723
195	32.57485408
196	32.5028988
197	32.40737567
198	32.37711848
199	32.29290552
200	32.21956838
201	32.12564692
202	32.09238826
203	32.04268712
204	32.02056058
205	31.95139213
206	31.93367693
207	31.85196546
208	31.83146993
209	31.77885024
210	31.72867579
211	31.67874374
212	31.59985348
213	31.53200964
214	31.50172519
215	31.46004359
216	31.37441566
217	31.32406406
218	31.24465377
219	31.17037839
220	31.14797649
221	31.09516726
222	31.05545373
223	31.00924773
224	30.9748211
225	30.94008174
226	30.86447171
227	30.83468677
228	30.78789677
229	30.70322673
230	30.67099945
231	30.63969271
232	30.6187519
233	30.57981645
234	30.56022347
235	30.52756426
236	30.49673895
237	30.43511082
238	30.40175903
239	30.37310793
240	30.33327947
241	30.30740683
242	30.2606057
243	30.24591921
244	30.20046964
245	30.11812571
246	30.07678623
247	30.04868701
248	30.02390867
249	29.97131176
250	29.9248031
251	29.88550592
252	29.8633164
253	29.8497554
254	29.81535397
255	29.79447109
256	29.77194631
257	29.73412328
258	29.71522332
259	29.69321222
260	29.63859575
261	29.60474339
262	29.5503479
263	29.52111524
264	29.46531559
265	29.4452758
266	29.37334289
267	29.36111114
268	29.34645186
269	29.29517397
270	29.25805453
271	29.23769042
272	29.19841752
273	29.15589117
274	29.12530161
275	29.08077942
276	29.06019391
277	29.01310005
278	28.96018765
279	28.9245942
280	28.88565551
281	28.84316806
282	28.78047775
283	28.75098931
284	28.72142992
285	28.66802553
286	28.60807704
287	28.56207617
288	28.49333948
289	28.44225223
290	28.41180813
291	28.3974459
292	28.3729412
293	28.33881338
294	28.29927563
295	28.26989
296	28.25727018
297	28.21782061
298	28.19634438
299	28.17262487
300	28.15690514
301	28.12348649
302	28.09884004
303	28.03130492
304	27.99976443
305	27.95680044
306	27.87822478
307	27.85651043
308	27.84487265
309	27.79921682
310	27.73920349
311	27.70847831
312	27.62462378
313	27.61469708
314	27.5619617
315	27.51660414
316	27.51049713
317	27.4816301
318	27.45536632
319	27.43766879
320	27.42249582
321	27.3825018
322	27.34677649
323	27.29901763
324	27.28092022
325	27.25750596
326	27.22177752
327	27.191581
328	27.18012525
329	27.17075018
330	27.16294595
331	27.13155061
332	27.06743575
333	27.03108364
334	26.99563039
335	26.98024924
336	26.94708787
337	26.9351055
338	26.92139762
339	26.89336396
340	26.85538284
341	26.82006355
342	26.78894185
343	26.7697428
344	26.75189066
345	26.72050233
346	26.67864722
347	26.66790067
348	26.64846573
349	26.61913261
350	26.61264357
351	26.57244832
352	26.54913619
353	26.52682033
354	26.50054979
355	26.48560422
356	26.45428411
357	26.44630343
358	26.38322113
359	26.34258257
360	26.32707191
361	26.29945755
362	26.26539988
363	26.23557708
364	26.21566937
365	26.16713785
366	26.15670629
367	26.14313518
368	26.13645558
369	26.10983528
370	26.09235655
371	26.05428712
372	26.0261291
373	26.00243101
374	25.96951635
375	25.93233538
376	25.91916349
377	25.8841522
378	25.87577833
379	25.85371114
380	25.83218425
381	25.79239975
382	25.77327062
383	25.7339366
384	25.69760711
385	25.68401039
386	25.65154015
387	25.63011078
388	25.61329999
389	25.58076491
390	25.56400502
391	25.52257366
392	25.51590493
393	25.48493402
394	25.46974178
395	25.45271531
396	25.43131183
397	25.41420068
398	25.37754054
399	25.36141744
400	25.32347791
401	25.30070479
402	25.27767082
403	25.24214169
404	25.21999673
405	25.18337854
406	25.16742944
407	25.15636404
408	25.14111451
409	25.11521939
410	25.08720857
411	25.07920548
412	25.07053081
413	25.05263133
414	25.03812321
415	24.99744827
416	24.98600798
417	24.97507342
418	24.96803349
419	24.95924742
420	24.94308168
421	24.93692613
422	24.92779361
423	24.91473917
424	24.87074801
425	24.8633722
426	24.85376433
427	24.83888098
428	24.82777797
429	24.81488916
430	24.78903452
431	24.76943695
432	24.76181915
433	24.74244538
434	24.72432276
435	24.71714135
436	24.68861947
437	24.67560395
438	24.66847002
439	24.65135204
440	24.62511991
441	24.59802125
442	24.57853239
443	24.55947917
444	24.53653079
445	24.51848327
446	24.4906351
447	24.47642317
448	24.46294978
449	24.44916283
450	24.43298412
451	24.4085915
452	24.38283371
453	24.36644725
454	24.35003612
455	24.33068645
456	24.30571921
457	24.28482915
458	24.2759625
459	24.25140424
460	24.23855136
461	24.20513917
462	24.19966161
463	24.18830673
464	24.18517901
