iter	RMSE
349	47.53581754
350	47.52401276
351	47.5070025
352	47.49079782
353	47.46975605
354	47.4432444
355	47.42672639
356	47.41351226
357	47.39169366
358	47.37284377
359	47.34408089
360	47.32825858
361	47.31039802
362	47.30209156
363	47.28085366
364	47.2697681
365	47.24589838
366	47.23024583
367	47.20809407
368	47.19698644
369	47.18248291
370	47.16110295
371	47.15208087
372	47.14137159
373	47.12637165
374	47.09602562
375	47.08284366
376	47.067562
377	47.05640425
378	47.03552762
379	47.01986912
380	47.00595922
381	46.99307588
382	46.97874544
383	46.96361921
384	46.95750592
385	46.94339678
386	46.92058781
387	46.90847793
388	46.89486047
389	46.87562429
390	46.86545604
391	46.85256878
392	46.83865299
393	46.82841889
394	46.81215459
395	46.80286183
396	46.78714536
397	46.77438108
398	46.76222714
399	46.74494032
400	46.72753157
401	46.70397202
402	46.69135119
403	46.68383358
404	46.66974905
405	46.65423597
406	46.64203642
407	46.63252333
408	46.61431764
409	46.60553612
410	46.59220133
411	46.57893804
412	46.56390422
413	46.55527759
414	46.5461724
415	46.53671243
416	46.52470443
417	46.51246378
418	46.50223678
419	46.48421885
420	46.46661924
421	46.44578041
422	46.42721042
423	46.4168756
424	46.39032885
425	46.36767828
426	46.35697432
427	46.34296361
428	46.32008922
429	46.30141577
430	46.28134451
431	46.26207628
432	46.24718983
433	46.22043427
434	46.20943093
435	46.18730085
436	46.17442164
437	46.16734468
438	46.14812859
439	46.13189983
440	46.12168534
441	46.10645814
442	46.09432212
443	46.07924608
444	46.06696209
445	46.05854521
446	46.05017452
447	46.03449758
448	46.0159842
449	45.99684841
450	45.98036535
451	45.96786795
452	45.95709263
453	45.94895341
454	45.93730741
455	45.927223
456	45.90971618
457	45.89594313
458	45.88804681
459	45.87909857
460	45.86975334
461	45.85719376
462	45.84542537
463	45.82890046
464	45.80647344
465	45.78773529
466	45.76467249
467	45.74944645
468	45.73500762
469	45.71721635
470	45.69762133
471	45.68228578
472	45.66984268
473	45.65010881
474	45.63111264
475	45.61939335
476	45.60500348
477	45.58939354
478	45.5714613
479	45.56180394
480	45.55212769
481	45.53492462
482	45.52432271
483	45.51357941
484	45.4967771
485	45.47902133
486	45.46513559
487	45.45015629
488	45.43453122
489	45.41786352
490	45.39570914
491	45.38523551
492	45.37336716
493	45.35988715
494	45.34372088
495	45.33356276
496	45.31861935
497	45.31181816
498	45.29602674
499	45.27984212
500	45.26917027
501	45.2522349
502	45.23370209
503	45.21982746
504	45.20552647
505	45.197334
506	45.18794583
507	45.16789108
508	45.15793354
509	45.14585457
510	45.13871617
511	45.12923786
512	45.11885025
513	45.10543446
514	45.08606663
515	45.07363891
516	45.06074455
517	45.04600467
518	45.03321728
519	45.02515937
520	45.01347681
521	44.9969422
522	44.98786363
523	44.9655897
524	44.95174633
525	44.9391892
526	44.92955813
527	44.92188503
528	44.90410583
529	44.88714188
530	44.87152124
531	44.85041719
532	44.84294007
533	44.82629143
534	44.81699472
535	44.80175663
536	44.78895645
537	44.76932916
538	44.75772935
539	44.75224492
540	44.74011626
541	44.72482827
542	44.7174265
543	44.70238707
544	44.69111499
545	44.68222374
546	44.66962331
547	44.657181
548	44.64987082
549	44.63710189
550	44.62623901
551	44.61936564
552	44.59543449
553	44.57727078
554	44.56012923
555	44.54366594
556	44.53516308
557	44.51880584
558	44.49878513
559	44.49268656
560	44.48220651
561	44.47003484
562	44.45060171
563	44.43818557
564	44.42760578
565	44.40832259
566	44.39267772
567	44.38013461
568	44.36007792
569	44.35048719
570	44.34026621
571	44.33124673
572	44.31329925
573	44.30497058
574	44.28998776
575	44.27898619
576	44.2648392
577	44.25501233
578	44.23468097
579	44.22696022
580	44.22170299
581	44.21273263
582	44.2032567
583	44.18737843
584	44.16737299
585	44.15889592
586	44.14635859
587	44.1285441
588	44.118821
589	44.10477864
590	44.09768522
591	44.08920547
592	44.08068355
593	44.06798503
594	44.05542216
595	44.04305576
596	44.03294003
597	44.01549987
598	44.00291121
599	43.99341258
600	43.98550639
601	43.97671076
602	43.96286923
603	43.94896224
604	43.93491975
605	43.92050376
606	43.90861748
607	43.90172854
608	43.88860651
609	43.87778794
610	43.8617687
611	43.85031307
612	43.83688011
613	43.82085694
614	43.81155803
615	43.79725038
616	43.78130624
617	43.77167871
618	43.75609163
619	43.7470323
620	43.7298883
621	43.71205856
622	43.70649391
623	43.69429987
624	43.67876307
625	43.66526426
626	43.65766842
627	43.64150067
628	43.62136343
629	43.60921895
630	43.59985175
631	43.58117134
632	43.56004743
633	43.5457198
